trafficID,num_cars,weatherStamp:,timeStamp,dateStamp,greenTime
B4,0,,08:27:39,2024-07-31,3
C2,0,,08:27:43,2024-07-31,3
B1,0,,08:27:44,2024-07-31,3
A3,59,30,08:27:45,2024-07-31,50
C3,0,,08:27:48,2024-07-31,3
B2,0,,08:27:49,2024-07-31,3
C4,0,,08:27:53,2024-07-31,3
B3,20,,08:27:54,2024-07-31,10
C1,0,,08:27:58,2024-07-31,3
C2,0,,08:28:04,2024-07-31,3
B4,0,,08:28:06,2024-07-31,3
C3,0,,08:28:09,2024-07-31,3
B1,0,,08:28:11,2024-07-31,3
D4,198,30,08:28:12,2024-07-31,50
C4,0,,08:28:14,2024-07-31,3
B2,80,,08:28:16,2024-07-31,40
C1,20,,08:28:19,2024-07-31,10
C2,0,,08:28:31,2024-07-31,3
C3,0,,08:28:36,2024-07-31,3
A4,38,30,08:28:38,2024-07-31,50
C4,20,,08:28:41,2024-07-31,10
C1,0,,08:28:53,2024-07-31,3
B3,80,,08:28:58,2024-07-31,40
C2,0,,08:28:58,2024-07-31,3
C3,0,,08:29:03,2024-07-31,3
D1,55,30,08:29:05,2024-07-31,50
C4,0,,08:29:08,2024-07-31,3
C1,0,,08:29:13,2024-07-31,3
C2,0,,08:29:18,2024-07-31,3
C3,0,,08:29:23,2024-07-31,3
C4,0,,08:29:28,2024-07-31,3
A1,27,30,08:29:31,2024-07-31,50
C1,0,,08:29:33,2024-07-31,3
C2,0,,08:29:38,2024-07-31,3
B4,0,,08:29:40,2024-07-31,3
C3,0,,08:29:43,2024-07-31,3
B1,0,,08:29:45,2024-07-31,3
C4,80,,08:29:48,2024-07-31,40
B2,20,,08:29:50,2024-07-31,10
D2,91,30,08:29:58,2024-07-31,50
B3,0,,08:30:02,2024-07-31,3
B4,0,,08:30:07,2024-07-31,3
B1,0,,08:30:12,2024-07-31,3
B2,0,,08:30:17,2024-07-31,3
B3,0,,08:30:22,2024-07-31,3
A2,51,30,08:30:24,2024-07-31,48
B4,0,,08:30:27,2024-07-31,3
C1,20,,08:30:30,2024-07-31,10
B1,0,,08:30:32,2024-07-31,3
B2,0,,08:30:37,2024-07-31,3
B3,0,,08:30:42,2024-07-31,3
C2,0,,08:30:42,2024-07-31,3
B4,0,,08:30:47,2024-07-31,3
C3,0,,08:30:47,2024-07-31,3
D3,118,30,08:30:51,2024-07-31,50
B1,0,,08:30:52,2024-07-31,3
C4,0,,08:30:52,2024-07-31,3
B2,20,,08:30:57,2024-07-31,10
C1,80,,08:30:57,2024-07-31,40
B3,0,,08:31:10,2024-07-31,3
A3,79,30,08:31:15,2024-07-31,50
B4,0,,08:31:15,2024-07-31,3
B1,0,,08:31:20,2024-07-31,3
B2,0,,08:31:25,2024-07-31,3
B3,20,,08:31:30,2024-07-31,10
C2,0,,08:31:39,2024-07-31,3
B4,0,,08:31:42,2024-07-31,3
C3,0,,08:31:44,2024-07-31,3
D4,46,30,08:31:44,2024-07-31,50
B1,0,,08:31:47,2024-07-31,3
C4,0,,08:31:49,2024-07-31,3
B2,76,,08:31:52,2024-07-31,38
C1,19,,08:31:54,2024-07-31,10
C2,0,,08:32:06,2024-07-31,3
A4,57,30,08:32:08,2024-07-31,50
C3,0,,08:32:11,2024-07-31,3
C4,20,,08:32:16,2024-07-31,10
C1,0,,08:32:28,2024-07-31,3
B3,80,,08:32:32,2024-07-31,40
C2,0,,08:32:33,2024-07-31,3
D1,179,30,08:32:37,2024-07-31,50
C3,0,,08:32:39,2024-07-31,3
C4,0,,08:32:44,2024-07-31,3
C1,0,,08:32:49,2024-07-31,3
C2,0,,08:32:54,2024-07-31,3
C3,0,,08:32:59,2024-07-31,3
A1,93,30,08:33:01,2024-07-31,49
C4,80,,08:33:04,2024-07-31,40
B4,0,,08:33:14,2024-07-31,3
B1,0,,08:33:19,2024-07-31,3
B2,20,,08:33:24,2024-07-31,10
D2,159,30,08:33:30,2024-07-31,50
B3,0,,08:33:36,2024-07-31,3
B4,0,,08:33:41,2024-07-31,3
B1,0,,08:33:46,2024-07-31,3
C1,20,,08:33:46,2024-07-31,10
B2,0,,08:33:51,2024-07-31,3
A2,22,30,08:33:53,2024-07-31,11
B3,0,,08:33:56,2024-07-31,3
C2,0,,08:33:58,2024-07-31,3
B4,0,,08:34:01,2024-07-31,3
C3,0,,08:34:03,2024-07-31,3
B1,0,,08:34:06,2024-07-31,3
A3,117,30,08:34:07,2024-07-31,50
C4,20,,08:34:08,2024-07-31,10
B2,0,,08:34:11,2024-07-31,3
B3,0,,08:34:16,2024-07-31,3
C1,0,,08:34:20,2024-07-31,3
B4,0,,08:34:21,2024-07-31,3
D3,59,30,08:34:23,2024-07-31,50
C2,0,,08:34:25,2024-07-31,3
B1,0,,08:34:26,2024-07-31,3
C3,0,,08:34:30,2024-07-31,3
B2,19,,08:34:31,2024-07-31,10
C4,0,,08:34:35,2024-07-31,3
C1,4,,08:34:40,2024-07-31,3
B3,0,,08:34:43,2024-07-31,3
C2,0,,08:34:45,2024-07-31,3
B4,0,,08:34:48,2024-07-31,3
C3,0,,08:34:50,2024-07-31,3
B1,0,,08:34:53,2024-07-31,3
C4,0,,08:34:55,2024-07-31,3
B2,0,,08:34:58,2024-07-31,3
C1,0,,08:35:00,2024-07-31,3
A4,48,30,08:35:01,2024-07-31,50
B3,20,,08:35:03,2024-07-31,10
C2,0,,08:35:05,2024-07-31,3
C3,0,,08:35:10,2024-07-31,3
B4,0,,08:35:15,2024-07-31,3
C4,0,,08:35:15,2024-07-31,3
D4,189,30,08:35:16,2024-07-31,50
B1,0,,08:35:21,2024-07-31,3
C1,0,,08:35:21,2024-07-31,3
B2,0,,08:35:26,2024-07-31,3
C2,0,,08:35:26,2024-07-31,3
B3,0,,08:35:31,2024-07-31,3
C3,0,,08:35:31,2024-07-31,3
B4,0,,08:35:36,2024-07-31,3
C4,0,,08:35:36,2024-07-31,3
B1,0,,08:35:41,2024-07-31,3
C1,0,,08:35:41,2024-07-31,3
B2,0,,08:35:46,2024-07-31,3
C2,0,,08:35:46,2024-07-31,3
B3,80,,08:35:51,2024-07-31,40
C3,0,,08:35:51,2024-07-31,3
A1,59,30,08:35:54,2024-07-31,30
C4,20,,08:35:56,2024-07-31,10
C1,0,,08:36:08,2024-07-31,3
D1,62,30,08:36:08,2024-07-31,50
C2,0,,08:36:13,2024-07-31,3
C3,0,,08:36:18,2024-07-31,3
C4,0,,08:36:23,2024-07-31,3
A2,12,30,08:36:27,2024-07-31,6
C1,20,,08:36:28,2024-07-31,10
B4,0,,08:36:33,2024-07-31,3
A3,71,30,08:36:36,2024-07-31,50
B1,0,,08:36:38,2024-07-31,3
C2,0,,08:36:40,2024-07-31,3
B2,0,,08:36:43,2024-07-31,3
C3,0,,08:36:45,2024-07-31,3
B3,20,,08:36:48,2024-07-31,10
C4,80,,08:36:50,2024-07-31,40
B4,0,,08:37:00,2024-07-31,3
D2,28,30,08:37:01,2024-07-31,50
B1,0,,08:37:05,2024-07-31,3
B2,21,,08:37:10,2024-07-31,11
B3,0,,08:37:23,2024-07-31,3
A4,15,30,08:37:28,2024-07-31,50
B4,0,,08:37:28,2024-07-31,3
C1,50,,08:37:32,2024-07-31,25
B1,0,,08:37:33,2024-07-31,3
B2,0,,08:37:38,2024-07-31,3
B3,0,,08:37:43,2024-07-31,3
B4,0,,08:37:48,2024-07-31,3
B1,0,,08:37:53,2024-07-31,3
D3,12,30,08:37:54,2024-07-31,31
B2,20,,08:37:58,2024-07-31,10
C2,0,,08:37:59,2024-07-31,3
C3,0,,08:38:04,2024-07-31,3
C4,0,,08:38:09,2024-07-31,3
B3,0,,08:38:10,2024-07-31,3
C1,0,,08:38:14,2024-07-31,3
B4,0,,08:38:15,2024-07-31,3
C2,0,,08:38:19,2024-07-31,3
B1,0,,08:38:20,2024-07-31,3
A1,6,30,08:38:21,2024-07-31,3
C3,0,,08:38:24,2024-07-31,3
B2,0,,08:38:25,2024-07-31,3
A2,24,30,08:38:28,2024-07-31,12
D4,91,30,08:38:28,2024-07-31,50
C4,0,,08:38:29,2024-07-31,3
B3,20,,08:38:30,2024-07-31,10
C1,0,,08:38:34,2024-07-31,3
C2,0,,08:38:39,2024-07-31,3
A3,159,30,08:38:43,2024-07-31,50
B4,0,,08:38:43,2024-07-31,3
C3,0,,08:38:45,2024-07-31,3
B1,0,,08:38:48,2024-07-31,3
C4,0,,08:38:50,2024-07-31,3
B2,0,,08:38:53,2024-07-31,3
C1,24,,08:38:55,2024-07-31,12
B3,49,,08:38:58,2024-07-31,25
C2,0,,08:39:09,2024-07-31,3
C3,0,,08:39:14,2024-07-31,3
C4,12,,08:39:19,2024-07-31,6
D1,37,30,08:39:21,2024-07-31,50
B4,0,,08:39:25,2024-07-31,3
C1,4,,08:39:27,2024-07-31,3
B1,0,,08:39:30,2024-07-31,3
C2,0,,08:39:32,2024-07-31,3
B2,19,,08:39:35,2024-07-31,10
A4,157,30,08:39:36,2024-07-31,50
C3,0,,08:39:37,2024-07-31,3
C4,0,,08:39:42,2024-07-31,3
B3,0,,08:39:47,2024-07-31,3
C1,0,,08:39:47,2024-07-31,3
B4,0,,08:39:52,2024-07-31,3
C2,0,,08:39:52,2024-07-31,3
B1,0,,08:39:57,2024-07-31,3
C3,0,,08:39:57,2024-07-31,3
B2,0,,08:40:02,2024-07-31,3
C4,80,,08:40:02,2024-07-31,40
B3,0,,08:40:07,2024-07-31,3
B4,0,,08:40:12,2024-07-31,3
D2,148,30,08:40:14,2024-07-31,50
B1,0,,08:40:17,2024-07-31,3
B2,0,,08:40:22,2024-07-31,3
B3,0,,08:40:27,2024-07-31,3
A1,113,30,08:40:29,2024-07-31,50
B4,0,,08:40:32,2024-07-31,3
B1,0,,08:40:37,2024-07-31,3
B2,0,,08:40:42,2024-07-31,3
C1,0,,08:40:44,2024-07-31,3
B3,0,,08:40:47,2024-07-31,3
C2,0,,08:40:49,2024-07-31,3
B4,0,,08:40:52,2024-07-31,3
C3,0,,08:40:54,2024-07-31,3
B1,0,,08:40:57,2024-07-31,3
C4,0,,08:40:59,2024-07-31,3
B2,0,,08:41:02,2024-07-31,3
C1,20,,08:41:04,2024-07-31,10
B3,0,,08:41:07,2024-07-31,3
D3,5,30,08:41:07,2024-07-31,3
B4,0,,08:41:12,2024-07-31,3
D4,173,30,08:41:13,2024-07-31,50
C2,0,,08:41:16,2024-07-31,3
B1,0,,08:41:18,2024-07-31,3
C3,0,,08:41:21,2024-07-31,3
A2,73,30,08:41:22,2024-07-31,37
B2,0,,08:41:23,2024-07-31,3
C4,0,,08:41:26,2024-07-31,3
B3,0,,08:41:28,2024-07-31,3
C1,0,,08:41:31,2024-07-31,3
B4,0,,08:41:33,2024-07-31,3
C2,0,,08:41:37,2024-07-31,3
B1,0,,08:41:38,2024-07-31,3
C3,0,,08:41:42,2024-07-31,3
B2,0,,08:41:43,2024-07-31,3
C4,1,,08:41:47,2024-07-31,3
B3,24,,08:41:48,2024-07-31,12
C1,80,,08:41:52,2024-07-31,40
A3,41,30,08:42:02,2024-07-31,50
B4,0,,08:42:02,2024-07-31,3
D1,26,30,08:42:05,2024-07-31,50
B1,0,,08:42:07,2024-07-31,3
B2,20,,08:42:12,2024-07-31,10
B3,0,,08:42:24,2024-07-31,3
B4,0,,08:42:29,2024-07-31,3
B1,0,,08:42:34,2024-07-31,3
C2,0,,08:42:34,2024-07-31,3
B2,59,,08:42:39,2024-07-31,30
C3,0,,08:42:39,2024-07-31,3
C4,80,,08:42:44,2024-07-31,40
A4,114,30,08:42:55,2024-07-31,50
D2,3,30,08:42:58,2024-07-31,50
B3,20,,08:43:11,2024-07-31,10
B4,0,,08:43:23,2024-07-31,3
C1,0,,08:43:26,2024-07-31,3
B1,0,,08:43:28,2024-07-31,3
C2,0,,08:43:31,2024-07-31,3
B2,20,,08:43:33,2024-07-31,10
C3,0,,08:43:36,2024-07-31,3
C4,20,,08:43:41,2024-07-31,10
B3,0,,08:43:45,2024-07-31,3
A1,159,30,08:43:48,2024-07-31,50
B4,0,,08:43:50,2024-07-31,3
D3,48,30,08:43:51,2024-07-31,24
C1,0,,08:43:53,2024-07-31,3
B1,0,,08:43:55,2024-07-31,3
C2,0,,08:43:58,2024-07-31,3
B2,0,,08:44:00,2024-07-31,3
C3,0,,08:44:03,2024-07-31,3
B3,0,,08:44:05,2024-07-31,3
C4,0,,08:44:08,2024-07-31,3
B4,0,,08:44:11,2024-07-31,3
C1,0,,08:44:13,2024-07-31,3
B1,0,,08:44:16,2024-07-31,3
C2,0,,08:44:18,2024-07-31,3
D4,0,30,08:44:18,2024-07-31,50
B2,0,,08:44:21,2024-07-31,3
C3,0,,08:44:23,2024-07-31,3
B3,20,,08:44:26,2024-07-31,10
C4,0,,08:44:28,2024-07-31,3
C1,0,,08:44:33,2024-07-31,3
B4,0,,08:44:38,2024-07-31,3
C2,0,,08:44:38,2024-07-31,3
A2,59,30,08:44:41,2024-07-31,30
B1,0,,08:44:43,2024-07-31,3
C3,0,,08:44:43,2024-07-31,3
B2,0,,08:44:48,2024-07-31,3
C4,9,,08:44:49,2024-07-31,5
B3,38,,08:44:53,2024-07-31,19
C1,0,,08:44:56,2024-07-31,3
C2,0,,08:45:01,2024-07-31,3
C3,0,,08:45:06,2024-07-31,3
C4,0,,08:45:11,2024-07-31,3
D1,188,30,08:45:11,2024-07-31,50
A3,150,30,08:45:14,2024-07-31,50
B4,0,,08:45:14,2024-07-31,3
C1,80,,08:45:16,2024-07-31,40
B1,0,,08:45:19,2024-07-31,3
B2,20,,08:45:24,2024-07-31,10
B3,0,,08:45:36,2024-07-31,3
B4,0,,08:45:41,2024-07-31,3
B1,0,,08:45:46,2024-07-31,3
B2,48,,08:45:51,2024-07-31,24
C2,0,,08:45:58,2024-07-31,3
C3,0,,08:46:03,2024-07-31,3
D2,63,30,08:46:04,2024-07-31,50
A4,23,30,08:46:07,2024-07-31,50
C4,80,,08:46:08,2024-07-31,40
B3,0,,08:46:17,2024-07-31,3
B4,0,,08:46:22,2024-07-31,3
B1,0,,08:46:27,2024-07-31,3
B2,0,,08:46:32,2024-07-31,3
B3,0,,08:46:37,2024-07-31,3
B4,0,,08:46:42,2024-07-31,3
B1,0,,08:46:47,2024-07-31,3
C1,0,,08:46:50,2024-07-31,3
B2,0,,08:46:53,2024-07-31,3
C2,0,,08:46:55,2024-07-31,3
D3,174,30,08:46:57,2024-07-31,50
B3,0,,08:46:58,2024-07-31,3
A1,140,30,08:47:00,2024-07-31,50
C3,0,,08:47:00,2024-07-31,3
B4,0,,08:47:03,2024-07-31,3
C4,0,,08:47:05,2024-07-31,3
B1,0,,08:47:08,2024-07-31,3
C1,0,,08:47:10,2024-07-31,3
B2,0,,08:47:13,2024-07-31,3
C2,0,,08:47:15,2024-07-31,3
B3,0,,08:47:18,2024-07-31,3
C3,0,,08:47:20,2024-07-31,3
B4,0,,08:47:23,2024-07-31,3
C4,0,,08:47:25,2024-07-31,3
B1,0,,08:47:28,2024-07-31,3
C1,20,,08:47:30,2024-07-31,10
B2,0,,08:47:33,2024-07-31,3
B3,20,,08:47:38,2024-07-31,10
C2,0,,08:47:42,2024-07-31,3
C3,0,,08:47:48,2024-07-31,3
B4,0,,08:47:50,2024-07-31,3
D4,106,30,08:47:51,2024-07-31,50
A2,172,30,08:47:53,2024-07-31,50
C4,0,,08:47:53,2024-07-31,3
B1,0,,08:47:55,2024-07-31,3
C1,0,,08:47:58,2024-07-31,3
B2,0,,08:48:00,2024-07-31,3
C2,0,,08:48:03,2024-07-31,3
B3,0,,08:48:05,2024-07-31,3
C3,0,,08:48:08,2024-07-31,3
B4,0,,08:48:10,2024-07-31,3
C4,0,,08:48:13,2024-07-31,3
B1,0,,08:48:15,2024-07-31,3
C1,0,,08:48:18,2024-07-31,3
B2,20,,08:48:20,2024-07-31,10
C2,0,,08:48:23,2024-07-31,3
C3,0,,08:48:28,2024-07-31,3
B3,80,,08:48:32,2024-07-31,40
C4,20,,08:48:33,2024-07-31,10
D1,7,30,08:48:44,2024-07-31,50
C1,0,,08:48:45,2024-07-31,3
A3,2,30,08:48:46,2024-07-31,50
C2,0,,08:48:50,2024-07-31,3
C3,0,,08:48:55,2024-07-31,3
C4,0,,08:49:00,2024-07-31,3
C1,0,,08:49:05,2024-07-31,3
C2,0,,08:49:10,2024-07-31,3
B4,0,,08:49:14,2024-07-31,3
C3,0,,08:49:15,2024-07-31,3
B1,0,,08:49:20,2024-07-31,3
C4,80,,08:49:20,2024-07-31,40
B2,80,,08:49:25,2024-07-31,40
D2,56,30,08:49:37,2024-07-31,50
A4,80,30,08:49:39,2024-07-31,50
C1,20,,08:50:03,2024-07-31,10
B3,0,,08:50:07,2024-07-31,3
B4,0,,08:50:12,2024-07-31,3
C2,0,,08:50:15,2024-07-31,3
