trafficID,num_cars,weatherStamp:,timeStamp,dateStamp,greenTime,avg_last_3_num_cars_A1,avg_last_3_num_cars_B1,avg_last_3_num_cars_C1,avg_last_3_num_cars_D1,avg_last_3_num_cars_C2,avg_last_3_num_cars_D2,avg_last_3_num_cars_C3,avg_last_3_num_cars_D3,avg_last_3_num_cars_A2,avg_last_3_num_cars_D4,avg_last_3_num_cars_A3,avg_last_3_num_cars_C4,avg_last_3_num_cars_A4,avg_last_3_num_cars_B2,avg_last_3_num_cars_B3,avg_last_3_num_cars_B4
C1,101,33,04:24:51,2024-08-01,50,87.0,82.66666666666667,73.33333333333333,98.33333333333333,54.0,62.666666666666664,27.333333333333332,59.666666666666664,55.333333333333336,58.0,50.666666666666664,69.0,38.666666666666664,36.333333333333336,55.0,63.666666666666664
D3,18,33,04:24:55,2024-08-01,9,87.0,82.66666666666667,81.0,98.33333333333333,54.0,62.666666666666664,27.333333333333332,59.666666666666664,55.333333333333336,58.0,50.666666666666664,69.0,38.666666666666664,36.333333333333336,55.0,63.666666666666664
B3,46,33,04:24:58,2024-08-01,23,87.0,82.66666666666667,81.0,98.33333333333333,54.0,62.666666666666664,27.333333333333332,41.666666666666664,55.333333333333336,58.0,50.666666666666664,69.0,38.666666666666664,36.333333333333336,55.0,63.666666666666664
D4,67,33,04:25:06,2024-08-01,39,87.0,82.66666666666667,81.0,98.33333333333333,54.0,62.666666666666664,27.333333333333332,41.666666666666664,55.333333333333336,58.0,50.666666666666664,69.0,38.666666666666664,36.333333333333336,52.666666666666664,63.666666666666664
A3,45,33,04:25:09,2024-08-01,23,87.0,82.66666666666667,81.0,98.33333333333333,54.0,62.666666666666664,27.333333333333332,41.666666666666664,55.333333333333336,73.33333333333333,50.666666666666664,69.0,38.666666666666664,36.333333333333336,52.666666666666664,63.666666666666664
B4,64,33,04:25:23,2024-08-01,33,87.0,82.66666666666667,81.0,98.33333333333333,54.0,62.666666666666664,27.333333333333332,41.666666666666664,55.333333333333336,73.33333333333333,40.333333333333336,69.0,38.666666666666664,36.333333333333336,52.666666666666664,63.666666666666664
A4,100,33,04:25:34,2024-08-01,50,87.0,82.66666666666667,81.0,98.33333333333333,54.0,62.666666666666664,27.333333333333332,41.666666666666664,55.333333333333336,73.33333333333333,40.333333333333336,69.0,38.666666666666664,36.333333333333336,52.666666666666664,76.33333333333333
C2,109,33,04:25:43,2024-08-01,50,87.0,82.66666666666667,81.0,98.33333333333333,54.0,62.666666666666664,27.333333333333332,41.666666666666664,55.333333333333336,73.33333333333333,40.333333333333336,69.0,67.33333333333333,36.333333333333336,52.666666666666664,76.33333333333333
D1,118,33,04:25:47,2024-08-01,50,87.0,82.66666666666667,81.0,98.33333333333333,84.66666666666667,62.666666666666664,27.333333333333332,41.666666666666664,55.333333333333336,73.33333333333333,40.333333333333336,69.0,67.33333333333333,36.333333333333336,52.666666666666664,76.33333333333333
B1,55,33,04:25:58,2024-08-01,30,87.0,82.66666666666667,81.0,109.33333333333333,84.66666666666667,62.666666666666664,27.333333333333332,41.666666666666664,55.333333333333336,73.33333333333333,40.333333333333336,69.0,67.33333333333333,36.333333333333336,52.666666666666664,76.33333333333333
A1,116,33,04:26:26,2024-08-01,50,87.0,84.66666666666667,81.0,109.33333333333333,84.66666666666667,62.666666666666664,27.333333333333332,41.666666666666664,55.333333333333336,73.33333333333333,40.333333333333336,69.0,67.33333333333333,36.333333333333336,52.666666666666664,76.33333333333333
B2,85,33,04:26:30,2024-08-01,43,87.33333333333333,84.66666666666667,81.0,109.33333333333333,84.66666666666667,62.666666666666664,27.333333333333332,41.666666666666664,55.333333333333336,73.33333333333333,40.333333333333336,69.0,67.33333333333333,36.333333333333336,52.666666666666664,76.33333333333333
C3,116,33,04:26:35,2024-08-01,50,87.33333333333333,84.66666666666667,81.0,109.33333333333333,84.66666666666667,62.666666666666664,27.333333333333332,41.666666666666664,55.333333333333336,73.33333333333333,40.333333333333336,69.0,67.33333333333333,58.0,52.666666666666664,76.33333333333333
D2,20,33,04:26:39,2024-08-01,10,87.33333333333333,84.66666666666667,81.0,109.33333333333333,84.66666666666667,62.666666666666664,54.333333333333336,41.666666666666664,55.333333333333336,73.33333333333333,40.333333333333336,69.0,67.33333333333333,58.0,52.666666666666664,76.33333333333333
D3,15,33,04:26:51,2024-08-01,8,87.33333333333333,84.66666666666667,81.0,109.33333333333333,84.66666666666667,53.0,54.333333333333336,41.666666666666664,55.333333333333336,73.33333333333333,40.333333333333336,69.0,67.33333333333333,58.0,52.666666666666664,76.33333333333333
D4,90,33,04:27:01,2024-08-01,45,87.33333333333333,84.66666666666667,81.0,109.33333333333333,84.66666666666667,53.0,54.333333333333336,13.666666666666666,55.333333333333336,73.33333333333333,40.333333333333336,69.0,67.33333333333333,58.0,52.666666666666664,76.33333333333333
B3,48,33,04:27:15,2024-08-01,24,87.33333333333333,84.66666666666667,81.0,109.33333333333333,84.66666666666667,53.0,54.333333333333336,13.666666666666666,55.333333333333336,89.0,40.333333333333336,69.0,67.33333333333333,58.0,52.666666666666664,76.33333333333333
A2,79,33,04:27:18,2024-08-01,40,87.33333333333333,84.66666666666667,81.0,109.33333333333333,84.66666666666667,53.0,54.333333333333336,13.666666666666666,55.333333333333336,89.0,40.333333333333336,69.0,67.33333333333333,58.0,64.0,76.33333333333333
C4,106,33,04:27:27,2024-08-01,50,87.33333333333333,84.66666666666667,81.0,109.33333333333333,84.66666666666667,53.0,54.333333333333336,13.666666666666666,59.0,89.0,40.333333333333336,69.0,67.33333333333333,58.0,64.0,76.33333333333333
B4,7,33,04:27:41,2024-08-01,4,87.33333333333333,84.66666666666667,81.0,109.33333333333333,84.66666666666667,53.0,54.333333333333336,13.666666666666666,59.0,89.0,40.333333333333336,87.33333333333333,67.33333333333333,58.0,64.0,76.33333333333333
B1,54,33,04:27:47,2024-08-01,27,87.33333333333333,84.66666666666667,81.0,109.33333333333333,84.66666666666667,53.0,54.333333333333336,13.666666666666666,59.0,89.0,40.333333333333336,87.33333333333333,67.33333333333333,58.0,64.0,57.333333333333336
D1,96,33,04:27:48,2024-08-01,48,87.33333333333333,71.0,81.0,109.33333333333333,84.66666666666667,53.0,54.333333333333336,13.666666666666666,59.0,89.0,40.333333333333336,87.33333333333333,67.33333333333333,58.0,64.0,57.333333333333336
A3,100,33,04:28:00,2024-08-01,50,87.33333333333333,71.0,81.0,107.33333333333333,84.66666666666667,53.0,54.333333333333336,13.666666666666666,59.0,89.0,40.333333333333336,87.33333333333333,67.33333333333333,58.0,64.0,57.333333333333336
B2,20,33,04:28:16,2024-08-01,10,87.33333333333333,71.0,81.0,107.33333333333333,84.66666666666667,53.0,54.333333333333336,13.666666666666666,59.0,89.0,60.0,87.33333333333333,67.33333333333333,58.0,64.0,57.333333333333336
C1,165,33,04:28:19,2024-08-01,50,87.33333333333333,71.0,81.0,107.33333333333333,84.66666666666667,53.0,54.333333333333336,13.666666666666666,59.0,89.0,60.0,87.33333333333333,67.33333333333333,52.333333333333336,64.0,57.333333333333336
B3,18,33,04:28:28,2024-08-01,9,87.33333333333333,71.0,119.66666666666667,107.33333333333333,84.66666666666667,53.0,54.333333333333336,13.666666666666666,59.0,89.0,60.0,87.33333333333333,67.33333333333333,52.333333333333336,64.0,57.333333333333336
D2,100,33,04:28:38,2024-08-01,50,87.33333333333333,71.0,119.66666666666667,107.33333333333333,84.66666666666667,53.0,54.333333333333336,13.666666666666666,59.0,89.0,60.0,87.33333333333333,67.33333333333333,52.333333333333336,37.333333333333336,57.333333333333336
B4,54,33,04:28:39,2024-08-01,27,87.33333333333333,71.0,119.66666666666667,107.33333333333333,84.66666666666667,69.33333333333333,54.333333333333336,13.666666666666666,59.0,89.0,60.0,87.33333333333333,67.33333333333333,52.333333333333336,37.333333333333336,57.333333333333336
A4,101,33,04:28:52,2024-08-01,50,87.33333333333333,71.0,119.66666666666667,107.33333333333333,84.66666666666667,69.33333333333333,54.333333333333336,13.666666666666666,59.0,89.0,60.0,87.33333333333333,67.33333333333333,52.333333333333336,37.333333333333336,41.666666666666664
B1,40,33,04:29:08,2024-08-01,20,87.33333333333333,71.0,119.66666666666667,107.33333333333333,84.66666666666667,69.33333333333333,54.333333333333336,13.666666666666666,59.0,89.0,60.0,87.33333333333333,73.66666666666667,52.333333333333336,37.333333333333336,41.666666666666664
C2,23,33,04:29:11,2024-08-01,16,87.33333333333333,49.666666666666664,119.66666666666667,107.33333333333333,84.66666666666667,69.33333333333333,54.333333333333336,13.666666666666666,59.0,89.0,60.0,87.33333333333333,73.66666666666667,52.333333333333336,37.333333333333336,41.666666666666664
C3,25,33,04:29:29,2024-08-01,21,87.33333333333333,49.666666666666664,119.66666666666667,107.33333333333333,56.333333333333336,69.33333333333333,54.333333333333336,13.666666666666666,59.0,89.0,60.0,87.33333333333333,73.66666666666667,52.333333333333336,37.333333333333336,41.666666666666664
B2,84,33,04:29:30,2024-08-01,42,87.33333333333333,49.666666666666664,119.66666666666667,107.33333333333333,56.333333333333336,69.33333333333333,62.0,13.666666666666666,59.0,89.0,60.0,87.33333333333333,73.66666666666667,52.333333333333336,37.333333333333336,41.666666666666664
D3,23,33,04:29:30,2024-08-01,12,87.33333333333333,49.666666666666664,119.66666666666667,107.33333333333333,56.333333333333336,69.33333333333333,62.0,13.666666666666666,59.0,89.0,60.0,87.33333333333333,73.66666666666667,63.0,37.333333333333336,41.666666666666664
D4,88,33,04:29:44,2024-08-01,44,87.33333333333333,49.666666666666664,119.66666666666667,107.33333333333333,56.333333333333336,69.33333333333333,62.0,18.666666666666668,59.0,89.0,60.0,87.33333333333333,73.66666666666667,63.0,37.333333333333336,41.666666666666664
A1,69,33,04:29:45,2024-08-01,43,87.33333333333333,49.666666666666664,119.66666666666667,107.33333333333333,56.333333333333336,69.33333333333333,62.0,18.666666666666668,59.0,81.66666666666667,60.0,87.33333333333333,73.66666666666667,63.0,37.333333333333336,41.666666666666664
C4,100,33,04:29:52,2024-08-01,50,80.0,49.666666666666664,119.66666666666667,107.33333333333333,56.333333333333336,69.33333333333333,62.0,18.666666666666668,59.0,81.66666666666667,60.0,87.33333333333333,73.66666666666667,63.0,37.333333333333336,41.666666666666664
B3,39,33,04:30:15,2024-08-01,20,80.0,49.666666666666664,119.66666666666667,107.33333333333333,56.333333333333336,69.33333333333333,62.0,18.666666666666668,59.0,81.66666666666667,60.0,102.33333333333333,73.66666666666667,63.0,37.333333333333336,41.666666666666664
A2,73,33,04:30:30,2024-08-01,37,80.0,49.666666666666664,119.66666666666667,107.33333333333333,56.333333333333336,69.33333333333333,62.0,18.666666666666668,59.0,81.66666666666667,60.0,102.33333333333333,73.66666666666667,63.0,35.0,41.666666666666664
D1,89,33,04:30:30,2024-08-01,45,80.0,49.666666666666664,119.66666666666667,107.33333333333333,56.333333333333336,69.33333333333333,62.0,18.666666666666668,76.0,81.66666666666667,60.0,102.33333333333333,73.66666666666667,63.0,35.0,41.666666666666664
